,rat,sess,sh,clu,burst_type,corr_cycle_fr_volt_amp_r,corr_cycle_fr_volt_amp_p,corr_cycle_fr_period_r,corr_cycle_fr_period_p,corr_cycle_fr_time_rdsym_r,corr_cycle_fr_time_rdsym_p,corr_cycle_fr_time_ptsym_r,corr_cycle_fr_time_ptsym_p,corr_burst_across_fr_volt_amp_r,corr_burst_across_fr_volt_amp_p,corr_burst_within_fr_volt_amp_avgr,corr_burst_within_fr_volt_amp_p,corr_burst_across_fr_period_r,corr_burst_across_fr_period_p,corr_burst_within_fr_period_avgr,corr_burst_within_fr_period_p,corr_burst_across_fr_time_rdsym_r,corr_burst_across_fr_time_rdsym_p,corr_burst_within_fr_time_rdsym_avgr,corr_burst_within_fr_time_rdsym_p,corr_burst_across_fr_time_ptsym_r,corr_burst_across_fr_time_ptsym_p,corr_burst_within_fr_time_ptsym_avgr,corr_burst_within_fr_time_ptsym_p,glm_cycle_fr_coef_volt_amp,glm_cycle_fr_p_volt_amp,glm_cycle_fr_coef_period,glm_cycle_fr_p_period,glm_cycle_fr_coef_time_rdsym,glm_cycle_fr_p_time_rdsym,glm_cycle_fr_coef_time_ptsym,glm_cycle_fr_p_time_ptsym,glm_cycle_fr_r2,glm_burst_fr_coef_volt_amp,glm_burst_fr_p_volt_amp,glm_burst_fr_coef_period,glm_burst_fr_p_period,glm_burst_fr_coef_time_rdsym,glm_burst_fr_p_time_rdsym,glm_burst_fr_coef_time_ptsym,glm_burst_fr_p_time_ptsym,glm_burst_fr_r2,glm_speed_fr_coef_volt_amp,glm_speed_fr_p_volt_amp,glm_speed_fr_coef_period,glm_speed_fr_p_period,glm_speed_fr_coef_time_rdsym,glm_speed_fr_p_time_rdsym,glm_speed_fr_coef_time_ptsym,glm_speed_fr_p_time_ptsym,glm_speed_fr_coef_speed,glm_speed_fr_p_speed,glm_speed_fr_r2
0,ec013,ec013.426,4,2,0,0.06026717243276117,5.352576066200474e-09,0.02173888987408645,0.03543372137038541,0.0004402135570219499,0.9660297649457265,0.018865600406215176,0.06795491392487281,0.15366032431186313,0.00025908123555828906,0.07942987830091401,0.00025028701480665647,-0.08854095620233011,0.03603140048026196,0.08469768493069428,0.009636561180273532,-0.1548735828531738,0.00023113239922671063,-0.0038411926479395004,0.37517437446318425,-0.11529947754311305,0.006257942910745387,-0.006693383352013723,0.6887152266367362,0.14222861753860316,5.460316630436552e-13,0.012663073606006221,0.5220731092146524,0.003547885764816532,0.8578557886223932,0.034744079847929335,0.08061902643632508,0.005736289927923743,0.06707279270999594,0.031544189440457865,-0.04846227768824407,0.12794168869600378,-0.030456046827192083,0.3172926775644861,0.03184921062911745,0.32794231091328385,0.015120823321976617,,,,,,,,,,,
1,ec013,ec013.426,4,3,0,0.015487067291816243,0.13403492000594036,0.015253828537667305,0.13999490390338054,-0.008961338350494405,0.3859542367097548,-0.005781914722505669,0.5759070642365249,0.17384384705992248,3.473849499742572e-05,0.06181798926428168,0.03563233298025882,-0.13495437956319994,0.00135535817417023,0.01543947566300829,0.6838744458680515,-0.1496142671816464,0.00037681820682612866,0.005563465170658553,0.3281543850816713,-0.16073224339794898,0.00013161916969754714,-0.015378857805881599,0.13613864086333977,0.044236916525558015,0.028884288290637408,-0.010466631325525326,0.6063250793210675,-0.029766949486545815,0.14332262159496775,-0.0119354695394097,0.5588622748244415,0.0008053759742513433,0.032729905994006256,0.30408547014339127,-0.0627837333317017,0.05339580351570863,-0.06665100671361109,0.03206030340365497,-0.0085424823203568,0.7971714723911701,0.021276169428246394,,,,,,,,,,,
2,ec013,ec013.426,4,4,0,0.01253794728871695,0.22512017516360325,0.00511501766652989,0.6207038121473232,-0.00618920294084106,0.5493215126360452,0.008731978860117366,0.39822971232865556,0.1699787232035851,5.198375903585066e-05,0.023792774061419074,0.4952371891852372,-0.07691879931324667,0.06868445869043972,-0.010440780178189576,0.9121117903820988,-0.08669366655664,0.04010522759104776,-0.03856353817124996,0.045550544922892226,-0.12426082093519104,0.003197948435890076,0.01975936334583289,0.7126460175432352,0.011035288114552847,0.3298030175961294,-0.0182846356678276,0.10751139658105517,-0.015074807671873698,0.18514386450184916,0.00969905316592631,0.3957566143511676,0.0006277658115871887,0.030736683894200117,0.046265397036592,-0.002321521807205802,0.8827399177848362,-0.007292287142937681,0.6281619290723216,0.020423438377305037,0.20449510712334662,0.008654149323511717,,,,,,,,,,,
3,ec013,ec013.426,4,6,0,-0.015580172516091489,0.1317113293426482,-0.05422897250305814,1.5191881477779514e-07,0.004513895208334998,0.662331250341257,-0.005640127525175353,0.5853026236950243,0.05441206450160329,0.1981456982348518,0.01601101665290339,0.9576014468728473,-0.20524913007106807,9.444866430905424e-07,-0.0426045012505209,0.3102326548323503,-0.02923190687865281,0.4895819405782932,0.00501543466385322,0.7063452012290778,-0.14577293187480378,0.0005331717086783343,0.0735092967026183,0.1372068663078141,-0.046302388768953325,0.06655900642673868,-0.14315089246391885,1.5696845960603914e-08,0.0027038192905362527,0.9150759143238676,-0.029095464069255776,0.25302045017062225,0.003938354004169087,-0.08884859503018755,0.2078300125500625,-0.2236815206122194,0.0018889255266844908,0.03538018975297127,0.6074292186250534,-0.06504487540103324,0.3769535346380881,0.02343236168273266,,,,,,,,,,,
4,ec013,ec013.426,4,7,0,0.00742034900408616,0.4728264073547914,0.016741897025151938,0.10527522032054998,-0.03832897517464315,0.0002076846334848314,-0.015669043229089793,0.12952265191102183,0.10662896216288413,0.011499930468947782,0.044998439462939806,0.15090060690814175,-0.09019105590695027,0.03269536240436179,0.014149581430458849,0.8088680238331822,-0.19650250278300557,2.736524853180494e-06,-0.05425115610735654,0.003027013678614217,-0.21744352729471117,1.9809476387553705e-07,-0.019242868222449076,0.15090060690814175,0.013514521295971813,0.2390978413860252,0.0010926498748059957,0.9244155576545535,-0.034420403303581704,0.002840512813709542,-0.017376555917700293,0.13340999480539412,0.0012613227293601925,-0.006708642984480273,0.6471333868097187,-0.0022869877140536477,0.8784727976387965,-0.02956368272550683,0.03880944686487657,-0.03253798685111365,0.03339827978412599,0.018699834026369544,,,,,,,,,,,
5,ec013,ec013.426,4,9,0,0.05902980886966974,1.0919283537878734e-08,0.01005616623191363,0.33060128437923086,-0.005629804914268219,0.5859894249794043,0.011888988646329677,0.25004708751521604,0.2955286671235555,9.045631496898019e-13,0.08372847014532814,5.0039258284083235e-05,-0.13373693661168848,0.0014992659838865073,0.019850493211407045,0.8487964262857772,-0.1679441925106127,6.404581895134782e-05,0.02413112511094913,0.8606283822275742,-0.1982885497711972,2.2105888016050606e-06,-0.0011838730906792634,0.8945978443163984,0.2589295060550769,1.8511853258329587e-15,-0.059915832996614286,0.06666970027781385,0.022850078226844876,0.4849191405290174,0.045673900706911456,0.16435432567331776,0.00735371526201245,0.2737280548215895,1.1042031986480597e-06,-0.09473816527336631,0.09847342782610613,-0.05149180483401006,0.34785139226295614,-0.016952371832726354,0.7724959846212911,0.0563329452735738,,,,,,,,,,,
6,ec013,ec013.426,4,10,0,0.07331823519181253,1.223454437883154e-12,-0.08759699928749494,2.0512500026899558e-17,0.024080699313476537,0.01980544963007309,-0.06842921009289765,3.404500553915137e-11,0.30213281856857876,2.6368926510394007e-13,0.06581525058857239,0.007168464485099868,-0.2553331922901469,8.452503198494884e-10,-0.02002300209862246,0.012287891886867413,-0.015673466198796775,0.7110638689615916,0.036533354768304445,0.3792707876581529,-0.2512951318580185,1.5809721710189373e-09,-0.03693325964319358,0.04329573284256218,0.2816536964504123,7.54191782178026e-08,-0.4290168477435791,3.214199928033113e-16,0.007944111252658531,0.8799915479159758,-0.3734916720944097,1.5425700736017633e-12,0.0176838476675385,0.20092869536399457,0.09162351006169109,-0.3489724715300198,0.004094197583584029,0.05853658557321372,0.61469729150305,-0.4514950879254138,0.00028130787199811137,0.06539854752163521,,,,,,,,,,,
7,ec013,ec013.426,4,2,1,0.06491183861088526,0.0006487087615142895,-0.01561142822596249,0.41256411722906805,-0.005271472925640161,0.7820362885006474,0.003736126014934571,0.8445436185899495,0.07882295529136431,0.048332293118037925,0.09198840318641546,0.13633304143168326,0.02131101331911888,0.5939996448121714,-0.006264821660921086,0.8924316455037161,-0.07873316005686969,0.04858920092546802,0.0268011060809919,0.7298304962947469,0.029252453449509483,0.4643147487622473,-0.04079481772003274,0.4340730354146586,0.2151483108036303,1.4961691500038956e-06,-0.06448507403958935,0.15407435202356182,-0.015553556845078878,0.7313260754049571,0.015037725229237242,0.7387046216147528,0.009256239861696214,0.18034921867315845,0.002023420216713517,-0.045277200464618375,0.4640034721203494,-0.0809491909082139,0.16807594667396542,0.0356788157519434,0.5574356661507089,0.017734789314719168,,,,,,,,,,,
8,ec013,ec013.426,4,3,1,0.025557874013134932,0.17973172960419107,-0.02680167469846483,0.15945885807515708,-0.011966908094986484,0.5299478080594522,-0.024694484637839673,0.1948905830195566,0.030213364283962995,0.44976380715939,0.08195014356170424,0.1154993995291831,-0.006912827371896407,0.8627364047885936,-0.042808243433552946,0.3301279098980351,-0.013567054290379426,0.7343628984277109,-0.03746207593631882,0.2744640400089774,-0.02443157276425532,0.5411168918966649,-0.014378387601171126,0.6331995108279487,0.05738626114616249,0.1488647079539601,-0.07480693225870196,0.06292676256506358,-0.05310031780398389,0.18733668375854995,-0.04966998649356138,0.21525396279611753,0.0030640013501359586,0.038174453630864635,0.3680175061196319,-0.029192886057847645,0.5153749878742403,-0.04282604282899673,0.31502944586291903,-0.027168351763983623,0.5382435305489182,0.004635683091559928,,,,,,,,,,,
9,ec013,ec013.426,4,6,1,-0.027791755652313843,0.1445965722458569,-0.06929927423357601,0.0002711226616482168,0.04578883833835994,0.016198512031503,-0.028006733903917058,0.14151434840975935,0.005918539169398469,0.8823238490014524,0.04252450199586766,0.667225361762762,-0.15225610217799435,0.0001279982126172508,-0.023785874067287497,0.8034197910260048,0.07871736640770335,0.048634505285263904,0.035591810184938996,0.7229434377966607,-0.0691662111831388,0.0832875193621516,-0.12471134507690985,0.11842219301474806,-0.07317696456079323,0.0884670890302082,-0.15642801565098363,0.00031955721592904075,0.060444416753405325,0.16484280842463628,-0.04877555324042944,0.26007687916020794,0.007714341691761328,-0.14533599457688504,0.04075591447734387,-0.2493238709476011,0.0009110568021133311,0.06329645052975663,0.3753368072351637,0.001593593600436559,0.9828051218356679,0.025509623092672462,,,,,,,,,,,
