,rat,sess,sh,clu,fr1,fr2,type,fr_recording,N_spikes_recording,fr_burst0,fr_notburst0,N_spikes_burst0,mwu_fr_burst0_notburst_p,fr_burst1,fr_notburst1,N_spikes_burst1,mwu_fr_burst1_notburst_p,fr_burst2,fr_notburst2,N_spikes_burst2,mwu_fr_burst2_notburst_p,fr_burst3,fr_notburst3,N_spikes_burst3,mwu_fr_burst3_notburst_p,sfc_magnitude_recording,sfc_phase_recording,sfc_magnitude_cycles,sfc_phase_cycles,sfc_magnitude_cycles_hilbert,sfc_phase_cycles_hilbert,norm_fr_diff_burst0,norm_fr_diff_burst1,norm_fr_diff_burst2,norm_fr_diff_burst3,sfc_phase_cycles_2pi
0,ec013,ec013.426,4,2,0.4072305992086721,0.5122863247863251,p,0.335560169580144,516,0.3427204520333753,0.30932937391734716,414,0.297142126378647,0.4654362499914859,0.2969537939896552,164,0.0002408862485476342,0.34197029483753755,0.2969403268719118,451,0.2063654232044873,0.4025197737838871,0.3319096876482964,32,0.3242591928511106,0.3186619473457788,-2.1282633515141693,0.30463516731598106,-1.9752681760167914,0.34877932431585434,-1.898693685431075,0.05120939656312649,0.2209924661686668,0.0704792915246032,0.0961427745530477,4.307917131162795
1,ec013,ec013.426,4,3,0.35328141672604,0.352439998478567,p,0.4344073513169306,668,0.4329536145252543,0.43973293350995435,523,0.1949536504071775,0.4512461204185748,0.42940193505890484,159,0.42964238976802366,0.4314436757484676,0.4522629593895272,569,0.15220435474462446,0.6289371465373236,0.42380203918728754,50,0.017321812871518256,0.2154926825342688,-1.255454599047984,0.24957772719842883,-1.0763203100441674,0.2905987609409892,-1.1319708706364475,-0.007768332169165635,0.024804671087164613,-0.023559044159274182,0.1948584322990119,5.206864997135419
2,ec013,ec013.426,4,4,0.109062568149121,0.108744437259899,n,0.13851611651273385,213,0.14404192911547659,0.11827299590957392,174,0.323910330181593,0.1646055030457694,0.13076090360339931,58,0.1578516570297357,0.14255081026487154,0.11420781802765839,188,0.30567345003399743,0.26415360154567596,0.13166665295139032,21,0.0015722435027104875,0.25438825551742894,-2.8905713520440672,0.28156102314891335,-2.8352079732315616,0.2701332775696919,-2.699107650069922,0.09823662608386384,0.11458513453281823,0.11038769145051455,0.3347149295394827,3.4479773339480246
3,ec013,ec013.426,4,5,0.20538795277550695,0.25,p,0.002601241624652279,4,0.0016556543576491563,0.006065281841516611,2,0.27442155109727573,0.0,0.0033744749317006274,0,0.16735092510898864,0.0015164979815411863,0.009136625442212672,2,0.14579402248007534,0.0,0.002743055269820632,0,0.3390326317287695,,,,,,,-0.5711260098670297,-1.0,-0.7152951446784579,-1.0,
4,ec013,ec013.426,4,6,0.17184938130038094,0.17329842931937198,p,0.36872600029446057,567,0.35017089664279655,0.436700292589196,423,0.004106786703512437,0.2894786432873876,0.3922827108101979,102,0.009863745919088973,0.369267258505279,0.36546501768850687,487,0.3783602079409974,0.35220480206090127,0.3696266976083301,28,0.23515878291912068,0.15856688151271864,-1.0421826831275776,0.19354632614047446,-0.9403142215247998,0.22440621945704156,-1.0338039257952516,-0.10996640508703144,-0.15079186713199233,0.005175001752297139,-0.024135682019158448,5.342871085654786
5,ec013,ec013.426,4,7,0.114460002696476,0.114487847552394,n,0.1378658061065708,212,0.15314802808254693,0.08188130486047426,185,0.004539608141245296,0.13338721798536488,0.13919709093265087,47,0.3749085099257149,0.14861680219103626,0.07309300353770137,196,0.006613742037951876,0.10062994344597177,0.13989581876085222,8,0.1583306931936455,0.3601607326030022,3.0106370982109945,0.38218713862363246,3.0208935178948972,0.32380218790781246,3.105076121050989,0.3032248031753128,-0.02131404030682268,0.3406425728672479,-0.16325018557104246,3.0208935178948972
6,ec013,ec013.426,4,9,1.20592372360774,1.2074093796356202,p,0.9546556762473863,1468,0.9213716500317554,1.0765875268691985,1113,0.056025839151853794,1.103992080772488,0.9102646128262443,389,0.009050253303948612,0.9174812788324179,1.1786246820454347,1210,0.00970444315152585,1.220138064282408,0.9401821937310214,97,0.06742415847910144,0.19927653241045298,-1.9036270548514533,0.22433991372153417,-1.5114698240943663,0.24832677785004775,-1.4758390669500687,-0.07768721134642968,0.09617814281660608,-0.1245850200739134,0.12958998533339047,4.77171548308522
7,ec013,ec013.426,4,10,1.15744261554397,1.15628922444943,p,1.31557795166789,2023,1.3592922276299573,1.1554361908089146,1642,0.3439593940007979,1.4644213719244314,1.2713334305182113,516,0.050739435110967235,1.3284522318300793,1.238012747419817,1752,0.3890927510719822,1.6603940668585344,1.2967793788077036,132,0.05245636389261239,0.23785665896839175,-2.8648596930722,0.23750044650874103,-2.796529842551074,0.1745035971059244,-2.6797960713545392,0.08106483202173986,0.0705794032542024,0.0352389318153467,0.12296021681910851,3.4866554646285124
8,ec013,ec013.426,4,12,0.211739332436533,0.246253420789714,p,0.09169376726899284,141,0.0761601004518612,0.14859940511715697,92,0.0005395053659862848,0.06527459603539132,0.09954701048516851,23,0.053881229028993276,0.07658314806782993,0.18273250884425343,101,0.00010665943174177452,0.06289371465373236,0.09326387917390147,5,0.23667655907180712,,,,,,,-0.3222969568379453,-0.20793641788403544,-0.4093442025076476,-0.1944840707118706,
9,ec013,ec013.426,5,2,0.0701771127383701,0.0697196759347305,p,0.07088416616809302,109,0.045399882162083634,0.1579145630532752,54,1.647782377841158e-08,0.055321587298629425,0.0753596160879718,19,0.2769005283885456,0.047292345413527316,0.20729904342518002,62,6.553983222300029e-11,0.10066235831773067,0.06926127162048883,8,0.1505408141642975,,,,,,,-0.5534022964871557,-0.15333520253913488,-0.6284843283251131,0.18479529132386466,
