,rat,sess,sh,Fs,elec,burst_type,amp_mean,period_mean,rdsym_mean,ptsym_mean,cycling_frac,N_cycles_all,N_cycles_burst,N_seconds,corr_volt_amp_period_r,corr_volt_amp_period_p,corr_volt_amp_time_rdsym_r,corr_volt_amp_time_rdsym_p,corr_volt_amp_time_ptsym_r,corr_volt_amp_time_ptsym_p,corr_period_time_rdsym_r,corr_period_time_rdsym_p,corr_period_time_ptsym_r,corr_period_time_ptsym_p,corr_time_rdsym_time_ptsym_r,corr_time_rdsym_time_ptsym_p,mv_amp_mean,ms_period_mean
0,ec013,ec013.426,4,1250,0,0,2319.5325201333085,161.28786584063235,0.4122897590918605,0.41413052208661977,0.7855630049335148,11644,9362,1537.7272,-0.07745590635738284,6.156499639446641e-14,0.04081231684893916,7.814688414343822e-05,-0.0566766490648089,4.07510686378476e-08,-0.0783568274246201,3.143550314614005e-14,0.06888326572680072,2.5233493862592098e-11,-0.06963214026701416,1.533281675207298e-11,2.3195325201333086,129.03029267250588
1,ec013,ec013.426,4,1250,0,1,2506.0204709886484,159.75589408777657,0.4137615830418973,0.416970785554518,0.22914181397064448,11644,2757,1537.7272,-0.04539457576963911,0.017140158629406987,0.07497845714661387,8.125541022594285e-05,-0.0055667242234967145,0.7701623864688422,-0.13933026629719086,2.0061588375060769e-13,0.08994428375999958,2.243370794481598e-06,-0.07813629337232789,4.006003251548855e-05,2.5060204709886484,127.80471527022125
2,ec013,ec013.426,4,1250,0,2,2294.7485650893823,162.57741617357001,0.4170082621691619,0.4180101021009269,0.857647572339229,11644,10140,1537.7272,-0.07417703468136877,7.49870359011367e-14,0.022376392513539192,0.024243226732800365,-0.06944876662317709,2.542993892564987e-12,-0.05372021574458249,6.206877353592585e-08,0.0629793310815809,2.1900559045918138e-10,-0.06206655704443898,3.9697681656384123e-10,2.294748565089382,130.06193293885602
3,ec013,ec013.426,4,1250,0,3,2596.3271031132863,156.98894154818325,0.4347521136105205,0.4285979489408174,0.05169915704163912,11644,633,1537.7272,0.04795377603127678,0.2282800807103387,0.04527213048247546,0.25538963345069987,0.08377326105900472,0.03509748010024191,-0.07349719574469755,0.0646027644399765,-0.005631138239196676,0.8875557966477678,0.026172770891791933,0.5109850295304308,2.5963271031132864,125.59115323854661
4,ec013,ec013.426,5,1250,0,0,2200.7101411491794,161.0995774190053,0.4127551893709288,0.4190716804342035,0.7735025882475353,11619,9229,1537.72,-0.06866972554347381,4.0063130827010355e-11,0.06253438106927682,1.825662036348255e-09,-0.04322310214787324,3.271105386930417e-05,-0.0825088432686192,2.0398484912007525e-15,0.07084679713091953,9.510112823441499e-12,-0.06726379510513683,9.909330466089995e-11,2.2007101411491794,128.87966193520424
5,ec013,ec013.426,5,1250,0,1,2373.0568684389755,159.7722366951991,0.4156539147850166,0.42461263602161087,0.22334781364617745,11619,2687,1537.72,-0.044476962020190906,0.02113363938162032,0.0713982232748775,0.00021220621544257843,-0.010099822380488876,0.6007606506169595,-0.1243293517765549,1.0004854796863943e-10,0.09929931806636186,2.5005044188047836e-07,-0.057580520693560004,0.002827926126557444,2.3730568684389755,127.81778935615928
6,ec013,ec013.426,5,1250,0,2,2179.670098446825,162.54146002777227,0.4181199085773222,0.42316804791707674,0.8525572926150404,11619,10082,1537.72,-0.06243004045954106,3.521350334539378e-10,0.04049706971842197,4.753220356863162e-05,-0.052614894176132125,1.2500364603970325e-07,-0.05493525301115012,3.399910638345007e-08,0.06568847127108325,4.055447306822249e-11,-0.06657756509503321,2.207532010628489e-11,2.1796700984468247,130.0331680222178
7,ec013,ec013.426,5,1250,0,3,2524.0440616581645,156.19811320754718,0.43545723101200484,0.43016929023513567,0.051682751086023465,11619,636,1537.72,0.04887173210037967,0.2183942447306294,0.07137503880353097,0.07205607584757606,0.02179191308229665,0.5833107582316711,-0.04729073191278149,0.23367433582887634,0.04813430889079418,0.22542977489428662,-0.06542690337536598,0.09924508863036961,2.5240440616581648,124.95849056603775
8,ec013,ec013.426,6,1250,0,0,1672.178698831923,161.36947957702674,0.4115512945282168,0.44830437404184115,0.8097308994813586,11680,9646,1537.864,0.018114962379901983,0.07523004804020332,0.03480449845243656,0.0006287862563688305,-0.031303434254404836,0.0021064929328580262,-0.010427824756654791,0.30580975271481836,0.058119095822204946,1.1152447126901142e-08,-0.09085323635354453,3.8775692366323224e-19,1.672178698831923,129.0955836616214
9,ec013,ec013.426,6,1250,0,1,1791.3769121987375,158.42191921790584,0.40809414139154104,0.447133565507879,0.3203331373905625,11680,3887,1537.864,0.03867263244117438,0.01589999360365028,0.0763036650418107,1.910879358319376e-06,-0.030079692673277567,0.060770178176909925,-0.018248942188780527,0.2553402478446992,0.07852261736449041,9.5083010663052e-07,-0.10639233245218364,2.933647465071491e-11,1.7913769121987375,126.73753537432466
