,rat,sess,sh,burst_type,N_bursts,mv_amp_adjburst_r,mv_amp_adjburst_p,ms_period_adjburst_r,ms_period_adjburst_p,time_rdsym_adjburst_r,time_rdsym_adjburst_p,time_ptsym_adjburst_r,time_ptsym_adjburst_p,speed_adjburst_r,speed_adjburst_p,mv_amp_first_coef,mv_amp_first_p,ms_period_first_coef,ms_period_first_p,time_rdsym_first_coef,time_rdsym_first_p,time_ptsym_first_coef,time_ptsym_first_p,glm_first_r2,mv_amp_first_speed_coef,mv_amp_first_speed_p,ms_period_first_speed_coef,ms_period_first_speed_p,time_rdsym_first_speed_coef,time_rdsym_first_speed_p,time_ptsym_first_speed_coef,time_ptsym_first_speed_p,speed_first_speed_coef,speed_first_speed_p,glm_first_speed_r2
565,vvp01,2006-4-10_21-2-40,1,1,187,0.019685884303970346,0.820715876066355,0.2924310989657721,0.0005780743778678886,-0.03730367768998147,0.6675239636779761,0.08929372744122525,0.3030519257196316,,,0.15833403452038128,0.16838002317591516,0.02364238266815248,0.8319859429342177,-0.107368154956592,0.3555899236082687,-0.22013341162912256,0.05025212809304888,0.05400193472540704,,,,,,,,,,,
566,vvp01,2006-4-10_21-2-40,1,2,546,-0.07433693776196683,0.49124829997401465,0.22456455507964745,0.03542848109889521,0.09168398436124126,0.39556653493250193,0.010690007396710227,0.9212572742230138,,,-0.11949560467748449,0.8980135091875794,-2.03769884967733,0.02774201088772956,-0.7523449806239279,0.4187007496944327,-2.0580772693876006,0.030544049895348237,0.08775350458164799,,,,,,,,,,,
567,vvp01,2006-4-10_21-2-40,1,3,40,-0.025997425997425997,0.8803663200683816,0.33337625547257277,0.04693191991227437,-0.01698841698841699,0.9216621904989288,-0.3371943371943372,0.04431549593837927,,,-0.08834441779862805,0.3759743925020337,0.08451946120210624,0.3750438768309451,0.1670856650098943,0.11310256249663023,-0.2902040675811274,0.0012937462694683807,0.35460235608410373,,,,,,,,,,,
568,vvp01,2006-4-10_21-2-40,2,0,557,0.06142591321697171,0.4234354758362199,0.33456559744006964,7.265941880614073e-06,0.07277907094662317,0.3427287031131119,0.12843642915596556,0.09313120037746228,,,0.8932556412684298,0.07336348086643758,-0.10548607330905146,0.8314061566391511,0.02410114178211764,0.9618866690385941,-0.16320205511217864,0.7454631676664039,0.01906531413240009,,,,,,,,,,,
569,vvp01,2006-4-10_21-2-40,2,1,108,0.08122705977141832,0.4389240823535765,0.21137532018652355,0.041961357575240256,0.024320372415027897,0.8170045767547232,-0.0025364805586225413,0.9807488021216945,,,0.21336955365028523,0.29953804410277873,0.042736722240178264,0.8315688254245787,0.2862511447900443,0.18020654314151874,-0.2085391129903277,0.2949683658205853,0.04739494278822243,,,,,,,,,,,
570,vvp01,2006-4-10_21-2-40,2,2,553,0.04006851903166486,0.6834182049690514,0.183874226321663,0.05919054112238914,0.08627856009270221,0.3791838526147736,0.047655994155729645,0.6276006732395991,,,0.471352794205832,0.5747040562632912,-0.4643959881540757,0.5735665800687764,-0.3295059773960659,0.6948937233945642,-1.439335106222729,0.09383686681759083,0.032033348981837406,,,,,,,,,,,
571,vvp01,2006-4-10_21-2-40,2,3,17,-0.5343137254901961,0.027139775804459705,0.36274509803921573,0.15242989215413413,-0.43137254901960786,0.08383073912478924,-0.40196078431372556,0.10973047964744011,,,-0.2877088578789533,0.43190213789538223,-0.0766352768263775,0.850801746692839,-0.24401264263020112,0.5620549949356177,-0.4795110214971147,0.18783813038091157,0.18861585626467925,,,,,,,,,,,
572,vvp01,2006-4-10_21-2-40,3,0,582,0.30111758107923026,0.00020010308666545964,0.23519340473187406,0.004008804898312812,0.007214857646305394,0.9306481093248699,0.17505561992618562,0.03333317931047378,,,0.3562280842816515,0.4782316855094926,-0.7918436620676639,0.09802595717352292,-0.08264406307770583,0.8681683926724242,-0.564776268564338,0.24071593275350733,0.028850252990193614,,,,,,,,,,,
573,vvp01,2006-4-10_21-2-40,3,1,95,0.2667994310099573,0.020675635424699502,0.3057650174939012,0.007636240152798598,0.14549075391180652,0.21296142835826612,0.048477951635846374,0.6795898359398138,,,-0.10179794295763395,0.3334565015532621,0.12027839193072046,0.2382451803281389,-0.026772161435703726,0.7938588580566068,-0.22410365430058343,0.03240086010713066,0.07739378720172263,,,,,,,,,,,
574,vvp01,2006-4-10_21-2-40,3,2,509,0.32940074906367045,0.001621039797686415,0.07431146975896924,0.4888743206532983,-0.045403472931562834,0.6726613278252265,0.2867722165474975,0.006437225795029603,,,-0.1913249920266759,0.8411271503360188,-0.11898553453821256,0.8972234490402673,-1.0467269429525965,0.27625996788872387,-0.8529006916068113,0.3637083247244616,0.023907081092474525,,,,,,,,,,,
575,vvp01,2006-4-10_21-2-40,3,3,10,0.5151515151515151,0.12755286970323426,0.13939393939393938,0.7009318849100584,0.18787878787878787,0.603217610029209,0.11515151515151514,0.7514196523258483,,,-0.8500347109977219,0.008839059652387299,0.5608652654309604,0.02662814044212277,-0.05634394458237735,0.8053065810444981,-0.7460252728020048,0.002065775948923747,0.7021125190279996,,,,,,,,,,,
576,vvp01,2006-4-18_15-23-32,4,0,207,0.0820852534562212,0.5224552540907721,0.016921286018955865,0.8952782209534899,-0.03864247311827957,0.763654336937896,0.05779569892473118,0.6527614011498715,,,0.4033720533480438,0.7727295498670149,-1.2283013299946135,0.3769039457667538,0.9221481344635122,0.498348183250533,-0.555715820855254,0.6838702693422533,0.02658199321763921,,,,,,,,,,,
577,vvp01,2006-4-18_15-23-32,4,1,188,0.32260624228531126,0.0007015971628840258,0.37278496361991886,7.674417354344837e-05,0.14297889848939047,0.14178574735282454,-0.00012735359235094732,0.9989612482435104,,,0.13456017101910198,0.5235409465104759,0.1530993577659911,0.4712992876765435,-0.342352533238239,0.10366863693674394,0.06986921406558572,0.7411821329388846,0.03571251726713853,,,,,,,,,,,
578,vvp01,2006-4-18_15-23-32,4,2,187,-0.002954371375424007,0.9859550766860854,0.2539665171244119,0.12390012875335699,0.10712331764963343,0.5220819519587833,0.07298391508917824,0.6632317874079849,,,-0.40190299491942116,0.871993076614932,3.0503066596810777,0.2849623438903859,-2.8561559971974884,0.28276732693047246,0.4643651178811414,0.8633551056062208,0.10128094820321887,,,,,,,,,,,
